Customer ID,Status,days_ago_joined,Age,accum_points,points_per_day,days_ago_last_arrived,arrivals_count,Australia,China,Hong Kong,Indonesia,Japan,Malaysia,Philippines,Singapore,Taiwan,Thailand,United Arab Emirates,United States of America,Diamond,Jade,Platinum,Royal,Ruby
1820,1,2364,53,1950,0.82,1655,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1822,1,2364,38,22020,9.31,342,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1823,1,2364,56,166590,70.47,554,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1824,1,2364,45,64825,27.42,38,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1825,1,2364,41,52119,22.05,206,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1827,1,2364,54,44950,19.01,76,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1828,1,2364,40,127555,53.96,3,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1829,1,2364,43,34500,14.59,-186,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1830,1,2364,53,96020,40.62,59,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1833,1,2364,41,126420,53.48,-24,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1834,1,2364,48,43600,18.44,-90,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1835,1,2364,38,48980,20.72,-15,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1836,1,2364,64,27785,11.75,181,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1839,1,2364,46,24800,10.49,159,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1840,0,2364,59,0,0,159,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1841,1,2364,42,59425,25.14,134,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1842,1,2364,44,19150,8.1,1767,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1843,1,2364,43,41103,17.39,70,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1844,1,2364,43,39620,16.76,166,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1845,1,2364,42,21900,9.26,69,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1847,1,2364,41,100750,42.62,76,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1849,1,2357,38,69784,29.61,81,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1850,1,2357,44,107350,45.55,124,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1851,1,2357,36,97365,41.31,170,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1852,1,2357,44,43550,18.48,-201,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1853,1,2357,63,98810,41.92,10,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1854,1,2357,65,45050,19.11,35,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1855,1,2357,37,34661,14.71,145,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1856,1,2357,52,36330,15.41,194,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1857,1,2357,40,104780,44.45,129,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1858,1,2357,81,56260,23.87,153,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1859,0,2357,78,6600,2.8,2277,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1861,0,2357,39,21450,9.1,2069,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1863,1,2357,47,100450,42.62,-197,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1864,0,2357,41,18000,7.64,1946,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1865,1,2357,57,100040,42.44,102,23,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1866,1,2357,70,41235,17.49,-83,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1867,1,2357,36,37800,16.04,123,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1868,1,2357,33,30500,12.94,12,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1869,1,2357,44,40530,17.2,174,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1870,1,2357,63,19050,8.08,359,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1871,1,2357,44,26150,11.09,223,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1874,1,2357,36,98540,41.81,-58,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1875,1,2357,52,29675,12.59,540,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1877,0,2350,50,18200,7.74,1381,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1879,1,2350,43,96910,41.24,-86,17,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1880,1,2350,40,34655,14.75,132,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1881,0,2350,56,16440,7,2242,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1882,0,2350,63,6300,2.68,2198,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1883,1,2350,61,32925,14.01,187,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1884,1,2350,50,113640,48.36,-5,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1885,0,2350,51,14175,6.03,2207,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1886,1,2350,43,29700,12.64,212,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1887,1,2350,61,60275,25.65,157,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1888,1,2350,46,169050,71.94,104,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1890,1,2350,39,21970,9.35,483,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1892,1,2350,45,27670,11.77,150,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1895,1,2343,48,57250,24.43,440,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1896,1,2343,39,33400,14.26,584,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1897,1,2343,50,26400,11.27,319,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1899,1,2343,61,23640,10.09,877,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1900,1,2343,39,33850,14.45,190,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1901,1,2343,46,31905,13.62,439,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1903,1,2343,44,40070,17.1,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1904,1,2343,60,29749,12.7,159,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1906,0,2343,47,0,0,1327,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1907,1,2343,43,47150,20.12,250,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1908,1,2343,44,33900,14.47,1500,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1909,0,2343,34,0,0,1500,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1910,1,2343,53,34670,14.8,140,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1911,1,2343,47,40300,17.2,272,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1912,1,2343,39,32015,13.66,291,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1913,1,2343,61,54760,23.37,171,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1914,1,2343,61,103965,44.37,-383,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1915,1,2343,38,64510,27.53,185,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1916,0,2343,40,9990,4.26,2308,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1917,1,2343,42,29525,12.6,1055,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1918,1,2343,72,38360,16.37,142,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1919,1,2343,35,100095,42.72,110,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1920,1,2343,35,20675,8.82,1870,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1921,1,2343,60,23260,9.93,155,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1922,1,2343,42,135625,57.89,-152,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1924,1,2343,36,212950,90.89,-156,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1925,1,2336,50,19500,8.35,990,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1926,1,2336,49,13600,5.82,172,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1927,0,2336,37,0,0,172,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1929,1,2336,36,9400,4.02,436,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1930,1,2336,51,9400,4.02,1207,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1931,0,2336,34,2625,1.12,1982,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1932,1,2336,37,16200,6.93,158,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1933,1,2336,68,43769,18.74,-229,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1935,1,2336,62,158950,68.04,5,22,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1936,0,2336,44,43050,18.43,1630,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1937,1,2336,35,77075,32.99,343,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1938,1,2336,41,50765,21.73,769,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1939,0,2336,54,16238,6.95,2107,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1941,1,2336,63,267815,114.65,42,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1942,1,2336,57,25310,10.83,166,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1943,1,2336,45,127135,54.42,123,32,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1944,1,2336,42,89245,38.2,-58,28,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1945,1,2336,37,38400,16.44,136,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1946,1,2336,35,27300,11.69,172,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1947,1,2336,62,35900,15.37,530,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1948,1,2336,60,28600,12.24,430,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1949,1,2336,46,77610,33.22,103,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1950,1,2336,46,32820,14.05,814,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1952,1,2336,55,64405,27.57,-150,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1953,0,2336,55,0,0,-150,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1955,1,2336,58,29250,12.52,145,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1956,1,2336,54,77935,33.36,339,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1957,1,2329,49,52625,22.6,69,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1958,1,2329,48,33275,14.29,513,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1959,1,2329,46,19770,8.49,1481,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1960,1,2329,45,9700,4.16,519,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1961,1,2329,46,92725,39.81,132,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1962,1,2329,52,35673,15.32,45,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1963,1,2329,39,110315,47.37,129,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1964,1,2329,55,71835,30.84,21,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1966,1,2329,51,69076,29.66,514,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1967,1,2329,43,37440,16.08,222,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1968,1,2329,49,29830,12.81,141,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1969,1,2329,36,7837,3.36,1823,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1970,1,2329,64,122885,52.76,18,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1971,1,2329,40,52595,22.58,159,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1972,1,2329,38,27010,11.6,68,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1973,0,2329,36,13800,5.93,1584,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1974,0,2329,54,44775,19.22,1509,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
